,tweets,sentiment,tidy_tweets,absolute_tidy_tweets,key_phrases
0,"RT @DisneylandParis: Les Disney nuiMOs sont arrivés à Disneyland Paris ! 😍
Mettez-les en scène selon votre humeur et partagez vos plus bell…",pos,Les Disney nuiMOs sont arrivés à Disneyland Paris ! 😍 Mettez-les en scène selon votre humeur et partagez vos plus bell…,Les Disney nuiMOs sont arrivs Disneyland Paris Mettezles en scne selon votre humeur et partagez vos plus bell,"['les disney nuimos sont arrivés à disneyland paris', 'scène selon votre humeur et partagez vos']"
1,@kayabaudelaire its a good show its on disney plus,pos,@kayabaudelaire its a good show its on disney plus,kayabaudelaire good show disney plus,['good show']
2,RT @RemiPrieur: 🎁 CONCOURS 🎁 Voici un mois que @DisneylandParis  a rouvert ses portes. Pour fêter ça je vous propose de remporter ce mini c…,pos,🎁 CONCOUS 🎁 Voici un mois que @DisneylandParis a rouvert ses portes. Pour fêter ça je vous propose de remporter ce mini c…,CONCOUS Voici un mois que DisneylandParis rouvert s porte Pour fter je vous propose de remporter ce mini c,"['🎁 concous 🎁 voici un mois que', 'pour fêter ça je vous', 'de remporter ce mini c…']"
3,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets… https://t.co/np0HBPBhhd,pos,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets…,lf looking affordable cheap mura premium account Spotify viu canva pro quillbott lightroom Lightroom presets,['affordable cheap mura premium accounts spotify viu canva pro quillbott lightroom lightroom presets…']
4,"Now ""streaming"" on Disney Plus. https://t.co/DJ1BQQQwi4",pos,"Now ""streaming"" on Disney Plus.",Now streaming Disney Plus,['disney plus']
5,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets… https://t.co/JIxmrpqRtn,pos,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets…,lf looking affordable cheap mura premium account Spotify viu canva pro quillbott lightroom Lightroom presets,['affordable cheap mura premium accounts spotify viu canva pro quillbott lightroom lightroom presets…']
6,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets… https://t.co/qNaugPE6ra,pos,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets…,lf looking affordable cheap mura premium account Spotify viu canva pro quillbott lightroom Lightroom presets,['affordable cheap mura premium accounts spotify viu canva pro quillbott lightroom lightroom presets…']
7,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets… https://t.co/RYEnb0ki5h,pos,🏷️lf looking for affordable cheap mura premium accounts Spotify viu canva pro quillbott lightroom Lightroom presets…,lf looking affordable cheap mura premium account Spotify viu canva pro quillbott lightroom Lightroom presets,['affordable cheap mura premium accounts spotify viu canva pro quillbott lightroom lightroom presets…']
8,"RT @loveyourapprem: 💫 JUAL APLIKASI PREMIUM 💫

✅Aman &amp; Trusted
✅100% LEGAL
✅ Bergaransi
✅ Ratusan testi on bio
✅ WA

tag. apk premium legal…",pos,💫 JUAL APLIKASI PEMIUM 💫 ✅Aman &amp; Trusted ✅100% LEGAL ✅ Bergaransi ✅ atusan testi on bio ✅ WA tag. apk premium legal…,JUAL APLIKASI PEMIUM Aman amp Trusted LEGAL Bergaransi atusan testi bio WA tag apk premium legal,"['💫 jual aplikasi pemium 💫 ✅aman', 'trusted ✅100% legal ✅ bergaransi ✅ atusan testi', 'bio ✅ wa tag', 'apk premium legal…']"
9,"RT @kerembrsnfans: Diario Trome hakkında kısa bilgi ektedir. 

Dünyanın en çok okunan ( İspanyolca)  Peru gazetesi Diario Trome, Kerem Bürs…",pos,"Diario Trome hakkında kısa bilgi ektedir. Dünyanın en çok okunan ( İspanyolca) Peru gazetesi Diario Trome, Kerem Bürs…",Diario Trome hakknda ksa bilgi ektedir Dnyann en ok okunan spanyolca Peru gazetesi Diario Trome Kerem Brs,"['diario trome hakkında kısa bilgi ektedir', 'dünyanın', 'çok okunan', 'i̇spanyolca', 'peru gazetesi diario trome', 'kerem bürs…']"
